,feature,value
0,hi_status_unknown,0.1033
1,lead_signup_size,0.071
2,plan cost,0.0701
3,hi_status_not_interested,0.0335
4,viewed_pricing,0.0225
5,hi_status_interested_in_group_hi,0.0183
6,viewed_payroll_overview,0.0169
7,area_code_other,0.016
8,states_[CA],0.0159
9,viewed_hp,0.0157
10,area_code_is_real_1.0,0.014
11,job_seniority_executive,0.0118
12,area_code_is_real_unknown,0.0117
13,job_role_unknown,0.0116
14,hi_status_has_group_hi,0.0107
15,job_seniority_unknown,0.0106
16,states_other,0.0096
17,marketing_medium_Other,0.0095
18,states_[NY],0.0093
19,subIndustry_Internet Software & Services,0.008
20,states_[TX],0.008
21,marketing_program_Direct,0.0077
22,marketing_medium_Direct,0.0076
23,area_code_unknown,0.0073
24,marketing_program_Inbound Referral,0.0072
25,marketing_medium_SEO,0.0072
26,job_role_founder,0.0071
27,marketing_program_SEO,0.0068
28,job_role_ceo,0.0068
29,subIndustry_Internet,0.0066
30,sector_Information Technology,0.0064
31,area_code_415.0,0.0064
32,states_[MA],0.0062
33,sector_Industrials,0.0061
34,sector_Consumer Discretionary,0.0061
35,industryGroup_Software & Services,0.0061
36,industry_Professional Services,0.006
37,subIndustry_Consulting,0.0059
38,states_[FL],0.0059
39,job_role_operations,0.0059
40,subIndustry_unknown,0.0058
41,industry_Internet Software & Services,0.0058
42,industryGroup_Commercial & Professional Services,0.0058
43,marketing_program_Search - Non Brand,0.0056
44,marketing_channel_Organic,0.0056
45,subIndustry_other,0.0055
46,states_[WA],0.0055
47,marketing_medium_Search,0.0052
48,marketing_channel_Paid,0.0052
49,job_seniority_manager,0.0051
50,job_seniority_director,0.0051
51,states_[GA],0.0049
52,job_role_sales,0.0047
53,states_[CO],0.0046
54,job_role_owner,0.0046
55,industryGroup_Consumer Services,0.0046
56,area_code_is_real_0.0,0.0046
57,area_code_650.0,0.0046
58,states_[OR],0.0042
59,states_[IL],0.0041
60,job_role_finance,0.004
61,states_[OH],0.0039
62,states_[NC],0.0038
63,marketing_program_Search - Brand,0.0038
64,job_role_engineering,0.0038
65,industry_other,0.0038
66,states_[NJ],0.0037
67,area_code_917.0,0.0037
68,job_role_marketing,0.0036
69,marketing_program_Customer Referral,0.0035
70,area_code_646.0,0.0035
71,area_code_408.0,0.0035
72,states_[VA],0.0034
73,states_[AZ],0.0034
